,addrcode,Year,Month,Cases
140,1003,2016,9,22
141,1003,2016,10,18
142,1003,2016,11,13
143,1003,2016,12,2
144,1003,2017,1,7
145,1003,2017,2,4
146,1003,2017,3,3
147,1003,2017,4,2
148,1003,2017,5,3
149,1003,2017,6,7
150,1003,2017,7,32
151,1003,2017,8,29
152,1003,2017,9,42
153,1003,2017,10,43
154,1003,2017,11,52
155,1003,2017,12,34
156,1003,2018,1,22
157,1003,2018,2,8
158,1003,2018,3,36
159,1003,2018,4,20
160,1003,2018,5,8
161,1003,2018,6,0
162,1004,2014,1,2
163,1004,2014,2,2
164,1004,2014,3,0
165,1004,2014,4,1
166,1004,2014,5,5
167,1004,2014,6,3
168,1004,2014,7,2
169,1004,2014,8,7
170,1004,2014,9,1
171,1004,2014,10,12
172,1004,2014,11,12
173,1004,2014,12,4
174,1004,2015,1,4
175,1004,2015,2,5
176,1004,2015,3,4
177,1004,2015,4,6
178,1004,2015,5,10
179,1004,2015,6,7
180,1004,2015,7,8
181,1004,2015,8,5
182,1004,2015,9,6
183,1004,2015,10,16
184,1004,2015,11,25
185,1004,2015,12,8
186,1004,2016,1,13
187,1004,2016,2,5
188,1004,2016,3,3
189,1004,2016,4,2
190,1004,2016,5,0
191,1004,2016,6,0
192,1004,2016,7,1
193,1004,2016,8,2
194,1004,2016,9,5
195,1004,2016,10,4
196,1004,2016,11,2
197,1004,2016,12,4
198,1004,2017,1,3
199,1004,2017,2,2
200,1004,2017,3,2
201,1004,2017,4,1
202,1004,2017,5,7
203,1004,2017,6,10
204,1004,2017,7,16
205,1004,2017,8,17
206,1004,2017,9,8
207,1004,2017,10,19
208,1004,2017,11,26
209,1004,2017,12,7
210,1004,2018,1,5
211,1004,2018,2,1
212,1004,2018,3,6
213,1004,2018,4,10
214,1004,2018,5,5
215,1004,2018,6,0
216,1005,2014,1,8
217,1005,2014,2,10
218,1005,2014,3,7
219,1005,2014,4,5
220,1005,2014,5,4
221,1005,2014,6,5
222,1005,2014,7,1
223,1005,2014,8,11
224,1005,2014,9,10
225,1005,2014,10,15
226,1005,2014,11,6
227,1005,2014,12,9
228,1005,2015,1,11
229,1005,2015,2,7
230,1005,2015,3,8
231,1005,2015,4,4
232,1005,2015,5,24
233,1005,2015,6,31
234,1005,2015,7,55
235,1005,2015,8,64
236,1005,2015,9,84
237,1005,2015,10,124
238,1005,2015,11,210
239,1005,2015,12,79
240,1005,2016,1,39
241,1005,2016,2,10
242,1005,2016,3,9
243,1005,2016,4,10
244,1005,2016,5,2
245,1005,2016,6,2
246,1005,2016,7,12
247,1005,2016,8,33
248,1005,2016,9,23
249,1005,2016,10,38
250,1005,2016,11,34
251,1005,2016,12,9
252,1005,2017,1,6
253,1005,2017,2,3
254,1005,2017,3,3
255,1005,2017,4,2
256,1005,2017,5,4
257,1005,2017,6,15
258,1005,2017,7,24
259,1005,2017,8,24
260,1005,2017,9,46
261,1005,2017,10,39
262,1005,2017,11,34
263,1005,2017,12,8
264,1005,2018,1,2
265,1005,2018,2,8
266,1005,2018,3,11
267,1005,2018,4,13
268,1005,2018,5,6
269,1005,2018,6,0
270,1006,2014,1,8
271,1006,2014,2,7
272,1006,2014,3,2
273,1006,2014,4,3
274,1006,2014,5,1
275,1006,2014,6,7
276,1006,2014,7,12
277,1006,2014,8,13
278,1006,2014,9,29
279,1006,2014,10,27
280,1006,2014,11,35
281,1006,2014,12,16
282,1006,2015,1,18
283,1006,2015,2,10
284,1006,2015,3,8
285,1006,2015,4,8
286,1006,2015,5,23
287,1006,2015,6,50
288,1006,2015,7,60
289,1006,2015,8,87
290,1006,2015,9,98
291,1006,2015,10,195
292,1006,2015,11,314
293,1006,2015,12,119
294,1006,2016,1,53
295,1006,2016,2,16
296,1006,2016,3,12
297,1006,2016,4,6
298,1006,2016,5,4
299,1006,2016,6,9
300,1006,2016,7,26
301,1006,2016,8,40
302,1006,2016,9,44
303,1006,2016,10,75
304,1006,2016,11,82
305,1006,2016,12,33
306,1006,2017,1,25
307,1006,2017,2,12
308,1006,2017,3,9
309,1006,2017,4,13
310,1006,2017,5,4
311,1006,2017,6,29
312,1006,2017,7,54
313,1006,2017,8,50
314,1006,2017,9,39
315,1006,2017,10,31
316,1006,2017,11,30
317,1006,2017,12,21
318,1006,2018,1,15
319,1006,2018,2,11
320,1006,2018,3,25
321,1006,2018,4,26
322,1006,2018,5,15
323,1006,2018,6,0
324,1007,2014,1,3
325,1007,2014,2,0
326,1007,2014,3,3
327,1007,2014,4,3
328,1007,2014,5,1
329,1007,2014,6,3
330,1007,2014,7,2
331,1007,2014,8,1
332,1007,2014,9,3
333,1007,2014,10,9
334,1007,2014,11,10
335,1007,2014,12,8
336,1007,2015,1,6
337,1007,2015,2,3
338,1007,2015,3,4
339,1007,2015,4,1
340,1007,2015,5,11
341,1007,2015,6,10
342,1007,2015,7,18
343,1007,2015,8,25
344,1007,2015,9,23
345,1007,2015,10,41
346,1007,2015,11,80
347,1007,2015,12,33
348,1007,2016,1,12
349,1007,2016,2,8
350,1007,2016,3,3
351,1007,2016,4,1
352,1007,2016,5,1
353,1007,2016,6,1
354,1007,2016,7,4
355,1007,2016,8,6
356,1007,2016,9,7
357,1007,2016,10,5
358,1007,2016,11,5
359,1007,2016,12,2
360,1007,2017,1,3
361,1007,2017,2,1
362,1007,2017,3,1
363,1007,2017,4,3
364,1007,2017,5,2
365,1007,2017,6,4
366,1007,2017,7,9
367,1007,2017,8,8
368,1007,2017,9,5
369,1007,2017,10,8
370,1007,2017,11,6
371,1007,2017,12,8
372,1007,2018,1,4
373,1007,2018,2,5
374,1007,2018,3,4
375,1007,2018,4,8
376,1007,2018,5,0
377,1007,2018,6,0
378,1008,2014,1,1
379,1008,2014,2,3
380,1008,2014,3,2
381,1008,2014,4,2
382,1008,2014,5,3
383,1008,2014,6,1
384,1008,2014,7,2
385,1008,2014,8,4
386,1008,2014,9,6
387,1008,2014,10,4
388,1008,2014,11,6
389,1008,2014,12,4
390,1008,2015,1,10
391,1008,2015,2,8
392,1008,2015,3,4
393,1008,2015,4,2
394,1008,2015,5,4
395,1008,2015,6,7
396,1008,2015,7,2
397,1008,2015,8,15
398,1008,2015,9,20
399,1008,2015,10,37
400,1008,2015,11,71
401,1008,2015,12,27
402,1008,2016,1,17
403,1008,2016,2,8
404,1008,2016,3,5
405,1008,2016,4,1
406,1008,2016,5,0
407,1008,2016,6,1
408,1008,2016,7,2
409,1008,2016,8,2
410,1008,2016,9,6
411,1008,2016,10,14
412,1008,2016,11,5
413,1008,2016,12,5
414,1008,2017,1,6
415,1008,2017,2,4
416,1008,2017,3,2
417,1008,2017,4,3
418,1008,2017,5,3
419,1008,2017,6,3
420,1008,2017,7,18
421,1008,2017,8,10
422,1008,2017,9,8
423,1008,2017,10,7
424,1008,2017,11,5
425,1008,2017,12,6
426,1008,2018,1,7
427,1008,2018,2,2
428,1008,2018,3,3
429,1008,2018,4,2
430,1008,2018,5,1
431,1008,2018,6,0
432,1010,2014,1,3
433,1010,2014,2,3
434,1010,2014,3,9
435,1010,2014,4,2
436,1010,2014,5,3
437,1010,2014,6,11
438,1010,2014,7,8
439,1010,2014,8,6
440,1010,2014,9,4
441,1010,2014,10,3
442,1010,2014,11,6
443,1010,2014,12,4
444,1010,2015,1,3
445,1010,2015,2,5
446,1010,2015,3,2
447,1010,2015,4,11
448,1010,2015,5,24
449,1010,2015,6,20
450,1010,2015,7,35
451,1010,2015,8,83
452,1010,2015,9,99
453,1010,2015,10,110
454,1010,2015,11,134
455,1010,2015,12,48
456,1010,2016,1,45
457,1010,2016,2,20
458,1010,2016,3,12
459,1010,2016,4,8
460,1010,2016,5,3
461,1010,2016,6,9
462,1010,2016,7,20
463,1010,2016,8,21
464,1010,2016,9,19
465,1010,2016,10,39
466,1010,2016,11,22
467,1010,2016,12,10
468,1010,2017,1,15
469,1010,2017,2,3
470,1010,2017,3,2
471,1010,2017,4,3
472,1010,2017,5,2
473,1010,2017,6,11
474,1010,2017,7,47
475,1010,2017,8,34
476,1010,2017,9,51
477,1010,2017,10,31
478,1010,2017,11,26
479,1010,2017,12,22
480,1010,2018,1,21
481,1010,2018,2,21
482,1010,2018,3,43
483,1010,2018,4,30
484,1010,2018,5,10
485,1010,2018,6,0
486,1011,2014,1,2
487,1011,2014,2,8
488,1011,2014,3,5
489,1011,2014,4,0
490,1011,2014,5,1
491,1011,2014,6,0
492,1011,2014,7,5
493,1011,2014,8,6
494,1011,2014,9,4
495,1011,2014,10,4
496,1011,2014,11,6
497,1011,2014,12,3
498,1011,2015,1,2
499,1011,2015,2,6
500,1011,2015,3,3
501,1011,2015,4,7
502,1011,2015,5,19
503,1011,2015,6,9
504,1011,2015,7,15
505,1011,2015,8,54
506,1011,2015,9,90
507,1011,2015,10,119
508,1011,2015,11,125
509,1011,2015,12,38
510,1011,2016,1,27
511,1011,2016,2,7
512,1011,2016,3,7
513,1011,2016,4,11
514,1011,2016,5,4
515,1011,2016,6,5
516,1011,2016,7,15
517,1011,2016,8,23
518,1011,2016,9,13
519,1011,2016,10,19
520,1011,2016,11,23
521,1011,2016,12,17
522,1011,2017,1,11
523,1011,2017,2,5
524,1011,2017,3,5
525,1011,2017,4,7
526,1011,2017,5,3
527,1011,2017,6,8
528,1011,2017,7,19
529,1011,2017,8,29
530,1011,2017,9,24
531,1011,2017,10,13
532,1011,2017,11,17
533,1011,2017,12,11
534,1011,2018,1,17
535,1011,2018,2,8
536,1011,2018,3,9
537,1011,2018,4,12
538,1011,2018,5,8
539,1011,2018,6,0
540,1012,2014,1,6
541,1012,2014,2,7
542,1012,2014,3,3
543,1012,2014,4,0
544,1012,2014,5,2
545,1012,2014,6,4
546,1012,2014,7,9
547,1012,2014,8,16
548,1012,2014,9,13
549,1012,2014,10,11
550,1012,2014,11,15
551,1012,2014,12,9
552,1012,2015,1,24
553,1012,2015,2,6
554,1012,2015,3,10
555,1012,2015,4,9
556,1012,2015,5,15
557,1012,2015,6,9
558,1012,2015,7,10
559,1012,2015,8,40
560,1012,2015,9,28
561,1012,2015,10,39
562,1012,2015,11,123
563,1012,2015,12,41
564,1012,2016,1,32
565,1012,2016,2,20
566,1012,2016,3,8
567,1012,2016,4,4
568,1012,2016,5,4
569,1012,2016,6,4
570,1012,2016,7,2
571,1012,2016,8,19
572,1012,2016,9,11
573,1012,2016,10,20
574,1012,2016,11,6
575,1012,2016,12,5
576,1012,2017,1,3
577,1012,2017,2,7
578,1012,2017,3,5
579,1012,2017,4,5
580,1012,2017,5,8
581,1012,2017,6,11
582,1012,2017,7,19
583,1012,2017,8,14
584,1012,2017,9,16
585,1012,2017,10,15
586,1012,2017,11,22
587,1012,2017,12,11
588,1012,2018,1,17
589,1012,2018,2,8
590,1012,2018,3,20
591,1012,2018,4,25
592,1012,2018,5,4
593,1012,2018,6,0
594,1013,2014,1,0
595,1013,2014,2,0
596,1013,2014,3,0
597,1013,2014,4,0
598,1013,2014,5,0
599,1013,2014,6,0
600,1013,2014,7,1
601,1013,2014,8,0
602,1013,2014,9,0
603,1013,2014,10,1
604,1013,2014,11,2
605,1013,2014,12,4
606,1013,2015,1,4
607,1013,2015,2,5
608,1013,2015,3,3
609,1013,2015,4,2
610,1013,2015,5,4
611,1013,2015,6,4
612,1013,2015,7,0
613,1013,2015,8,3
614,1013,2015,9,7
615,1013,2015,10,9
616,1013,2015,11,29
617,1013,2015,12,14
618,1013,2016,1,6
619,1013,2016,2,5
620,1013,2016,3,4
621,1013,2016,4,1
622,1013,2016,5,0
623,1013,2016,6,0
624,1013,2016,7,1
625,1013,2016,8,3
626,1013,2016,9,4
627,1013,2016,10,2
628,1013,2016,11,1
629,1013,2016,12,1
630,1013,2017,1,1
631,1013,2017,2,0
632,1013,2017,3,1
633,1013,2017,4,2
634,1013,2017,5,1
635,1013,2017,6,1
636,1013,2017,7,3
637,1013,2017,8,8
638,1013,2017,9,5
639,1013,2017,10,2
640,1013,2017,11,9
641,1013,2017,12,2
642,1013,2018,1,0
643,1013,2018,2,2
644,1013,2018,3,1
645,1013,2018,4,0
646,1013,2018,5,0
647,1013,2018,6,0
648,1014,2014,1,5
649,1014,2014,2,3
650,1014,2014,3,1
651,1014,2014,4,2
652,1014,2014,5,0
653,1014,2014,6,2
654,1014,2014,7,4
655,1014,2014,8,9
656,1014,2014,9,5
657,1014,2014,10,13
658,1014,2014,11,22
659,1014,2014,12,9
660,1014,2015,1,4
661,1014,2015,2,3
662,1014,2015,3,5
663,1014,2015,4,12
664,1014,2015,5,29
665,1014,2015,6,23
666,1014,2015,7,29
667,1014,2015,8,29
668,1014,2015,9,31
669,1014,2015,10,60
670,1014,2015,11,130
671,1014,2015,12,64
672,1014,2016,1,35
673,1014,2016,2,12
674,1014,2016,3,6
675,1014,2016,4,6
676,1014,2016,5,0
677,1014,2016,6,3
678,1014,2016,7,5
679,1014,2016,8,10
680,1014,2016,9,11
681,1014,2016,10,18
682,1014,2016,11,19
683,1014,2016,12,10
684,1014,2017,1,5
685,1014,2017,2,2
686,1014,2017,3,7
687,1014,2017,4,7
688,1014,2017,5,2
689,1014,2017,6,18
690,1014,2017,7,25
691,1014,2017,8,14
692,1014,2017,9,17
693,1014,2017,10,9
694,1014,2017,11,18
695,1014,2017,12,8
696,1014,2018,1,5
697,1014,2018,2,1
698,1014,2018,3,5
699,1014,2018,4,3
700,1014,2018,5,2
701,1014,2018,6,0
702,1015,2014,1,10
703,1015,2014,2,9
704,1015,2014,3,6
705,1015,2014,4,3
706,1015,2014,5,0
707,1015,2014,6,5
708,1015,2014,7,3
709,1015,2014,8,10
710,1015,2014,9,4
711,1015,2014,10,9
712,1015,2014,11,18
713,1015,2014,12,22
714,1015,2015,1,25
715,1015,2015,2,21
716,1015,2015,3,28
717,1015,2015,4,20
718,1015,2015,5,44
719,1015,2015,6,30
720,1015,2015,7,35
721,1015,2015,8,54
722,1015,2015,9,39
723,1015,2015,10,95
724,1015,2015,11,176
725,1015,2015,12,93
726,1015,2016,1,60
727,1015,2016,2,19
728,1015,2016,3,23
729,1015,2016,4,18
730,1015,2016,5,2
731,1015,2016,6,0
732,1015,2016,7,7
733,1015,2016,8,7
734,1015,2016,9,6
735,1015,2016,10,8
736,1015,2016,11,1
737,1015,2016,12,11
738,1015,2017,1,8
739,1015,2017,2,8
740,1015,2017,3,4
741,1015,2017,4,6
742,1015,2017,5,11
743,1015,2017,6,8
744,1015,2017,7,16
745,1015,2017,8,18
746,1015,2017,9,14
747,1015,2017,10,12
748,1015,2017,11,13
749,1015,2017,12,13
750,1015,2018,1,16
751,1015,2018,2,4
752,1015,2018,3,8
753,1015,2018,4,7
754,1015,2018,5,4
755,1015,2018,6,0
756,1016,2014,1,9
757,1016,2014,2,2
758,1016,2014,3,3
759,1016,2014,4,1
760,1016,2014,5,5
761,1016,2014,6,0
762,1016,2014,7,3
763,1016,2014,8,1
764,1016,2014,9,1
765,1016,2014,10,4
766,1016,2014,11,9
767,1016,2014,12,5
768,1016,2015,1,6
769,1016,2015,2,1
770,1016,2015,3,5
771,1016,2015,4,1
772,1016,2015,5,7
773,1016,2015,6,6
774,1016,2015,7,12
775,1016,2015,8,25
776,1016,2015,9,17
777,1016,2015,10,54
778,1016,2015,11,124
779,1016,2015,12,67
780,1016,2016,1,36
781,1016,2016,2,13
782,1016,2016,3,4
783,1016,2016,4,2
784,1016,2016,5,0
785,1016,2016,6,0
786,1016,2016,7,2
787,1016,2016,8,5
788,1016,2016,9,6
789,1016,2016,10,6
790,1016,2016,11,3
791,1016,2016,12,6
792,1016,2017,1,4
793,1016,2017,2,4
794,1016,2017,3,0
795,1016,2017,4,2
796,1016,2017,5,2
797,1016,2017,6,9
798,1016,2017,7,27
799,1016,2017,8,27
800,1016,2017,9,24
801,1016,2017,10,8
802,1016,2017,11,11
803,1016,2017,12,6
804,1016,2018,1,11
805,1016,2018,2,5
806,1016,2018,3,15
807,1016,2018,4,6
808,1016,2018,5,2
809,1016,2018,6,0
810,1017,2014,1,11
811,1017,2014,2,3
812,1017,2014,3,3
813,1017,2014,4,2
814,1017,2014,5,0
815,1017,2014,6,2
816,1017,2014,7,4
817,1017,2014,8,4
818,1017,2014,9,5
819,1017,2014,10,10
820,1017,2014,11,15
821,1017,2014,12,3
822,1017,2015,1,10
823,1017,2015,2,3
824,1017,2015,3,3
825,1017,2015,4,3
826,1017,2015,5,16
827,1017,2015,6,20
828,1017,2015,7,29
829,1017,2015,8,65
830,1017,2015,9,65
831,1017,2015,10,102
832,1017,2015,11,175
833,1017,2015,12,69
834,1017,2016,1,28
835,1017,2016,2,10
836,1017,2016,3,7
837,1017,2016,4,2
838,1017,2016,5,1
839,1017,2016,6,6
840,1017,2016,7,8
841,1017,2016,8,7
842,1017,2016,9,5
843,1017,2016,10,13
844,1017,2016,11,16
845,1017,2016,12,8
846,1017,2017,1,6
847,1017,2017,2,4
848,1017,2017,3,3
849,1017,2017,4,4
850,1017,2017,5,5
851,1017,2017,6,5
852,1017,2017,7,38
853,1017,2017,8,32
854,1017,2017,9,26
855,1017,2017,10,33
856,1017,2017,11,31
857,1017,2017,12,16
858,1017,2018,1,7
859,1017,2018,2,5
860,1017,2018,3,19
861,1017,2018,4,21
862,1017,2018,5,5
863,1017,2018,6,0
864,1018,2014,1,8
865,1018,2014,2,6
866,1018,2014,3,6
867,1018,2014,4,5
868,1018,2014,5,4
869,1018,2014,6,6
870,1018,2014,7,3
871,1018,2014,8,8
872,1018,2014,9,8
873,1018,2014,10,12
874,1018,2014,11,22
875,1018,2014,12,4
876,1018,2015,1,8
877,1018,2015,2,9
878,1018,2015,3,6
879,1018,2015,4,9
880,1018,2015,5,30
881,1018,2015,6,18
882,1018,2015,7,18
883,1018,2015,8,21
884,1018,2015,9,17
885,1018,2015,10,41
886,1018,2015,11,96
887,1018,2015,12,55
888,1018,2016,1,29
889,1018,2016,2,17
890,1018,2016,3,4
891,1018,2016,4,5
892,1018,2016,5,1
893,1018,2016,6,0
894,1018,2016,7,4
895,1018,2016,8,2
896,1018,2016,9,2
897,1018,2016,10,8
898,1018,2016,11,4
899,1018,2016,12,3
900,1018,2017,1,8
901,1018,2017,2,2
902,1018,2017,3,1
903,1018,2017,4,0
904,1018,2017,5,2
905,1018,2017,6,6
906,1018,2017,7,16
907,1018,2017,8,11
908,1018,2017,9,8
909,1018,2017,10,9
910,1018,2017,11,17
911,1018,2017,12,15
912,1018,2018,1,6
913,1018,2018,2,3
914,1018,2018,3,4
915,1018,2018,4,6
916,1018,2018,5,0
917,1018,2018,6,0
918,1019,2014,1,3
919,1019,2014,2,4
920,1019,2014,3,1
921,1019,2014,4,4
922,1019,2014,5,3
923,1019,2014,6,1
924,1019,2014,7,1
925,1019,2014,8,4
926,1019,2014,9,5
927,1019,2014,10,3
928,1019,2014,11,14
929,1019,2014,12,4
930,1019,2015,1,8
931,1019,2015,2,5
932,1019,2015,3,0
933,1019,2015,4,4
934,1019,2015,5,7
935,1019,2015,6,17
936,1019,2015,7,17
937,1019,2015,8,15
938,1019,2015,9,18
939,1019,2015,10,38
940,1019,2015,11,107
941,1019,2015,12,62
942,1019,2016,1,47
943,1019,2016,2,7
944,1019,2016,3,12
945,1019,2016,4,9
946,1019,2016,5,0
947,1019,2016,6,0
948,1019,2016,7,6
949,1019,2016,8,5
950,1019,2016,9,5
951,1019,2016,10,11
952,1019,2016,11,10
953,1019,2016,12,9
954,1019,2017,1,6
955,1019,2017,2,3
956,1019,2017,3,5
957,1019,2017,4,7
958,1019,2017,5,10
959,1019,2017,6,11
960,1019,2017,7,18
961,1019,2017,8,20
962,1019,2017,9,18
963,1019,2017,10,24
964,1019,2017,11,17
965,1019,2017,12,20
966,1019,2018,1,12
967,1019,2018,2,5
968,1019,2018,3,21
969,1019,2018,4,11
970,1019,2018,5,1
971,1019,2018,6,0
972,1020,2014,1,11
973,1020,2014,2,17
974,1020,2014,3,14
975,1020,2014,4,8
976,1020,2014,5,2
977,1020,2014,6,2
978,1020,2014,7,4
979,1020,2014,8,4
980,1020,2014,9,4
981,1020,2014,10,2
982,1020,2014,11,12
983,1020,2014,12,8
984,1020,2015,1,13
985,1020,2015,2,12
986,1020,2015,3,5
987,1020,2015,4,4
988,1020,2015,5,15
989,1020,2015,6,27
990,1020,2015,7,17
991,1020,2015,8,41
992,1020,2015,9,47
993,1020,2015,10,84
994,1020,2015,11,209
995,1020,2015,12,97
996,1020,2016,1,76
997,1020,2016,2,20
998,1020,2016,3,12
999,1020,2016,4,8
1000,1020,2016,5,1
1001,1020,2016,6,2
1002,1020,2016,7,5
1003,1020,2016,8,5
1004,1020,2016,9,6
1005,1020,2016,10,11
1006,1020,2016,11,22
1007,1020,2016,12,7
1008,1020,2017,1,16
1009,1020,2017,2,7
1010,1020,2017,3,5
1011,1020,2017,4,2
1012,1020,2017,5,12
1013,1020,2017,6,15
1014,1020,2017,7,30
1015,1020,2017,8,30
1016,1020,2017,9,22
1017,1020,2017,10,23
1018,1020,2017,11,31
1019,1020,2017,12,18
1020,1020,2018,1,12
1021,1020,2018,2,13
1022,1020,2018,3,18
1023,1020,2018,4,16
1024,1020,2018,5,8
1025,1020,2018,6,0
1026,1021,2014,1,6
1027,1021,2014,2,7
1028,1021,2014,3,7
1029,1021,2014,4,5
1030,1021,2014,5,3
1031,1021,2014,6,3
1032,1021,2014,7,3
1033,1021,2014,8,10
1034,1021,2014,9,23
1035,1021,2014,10,22
1036,1021,2014,11,38
1037,1021,2014,12,33
1038,1021,2015,1,28
1039,1021,2015,2,14
1040,1021,2015,3,16
1041,1021,2015,4,12
1042,1021,2015,5,26
1043,1021,2015,6,32
1044,1021,2015,7,26
1045,1021,2015,8,65
1046,1021,2015,9,72
1047,1021,2015,10,112
1048,1021,2015,11,214
1049,1021,2015,12,109
1050,1021,2016,1,64
1051,1021,2016,2,10
1052,1021,2016,3,6
1053,1021,2016,4,7
1054,1021,2016,5,4
1055,1021,2016,6,3
1056,1021,2016,7,8
1057,1021,2016,8,14
1058,1021,2016,9,10
1059,1021,2016,10,16
1060,1021,2016,11,6
1061,1021,2016,12,13
1062,1021,2017,1,6
1063,1021,2017,2,7
1064,1021,2017,3,6
1065,1021,2017,4,8
1066,1021,2017,5,8
1067,1021,2017,6,19
1068,1021,2017,7,44
1069,1021,2017,8,39
1070,1021,2017,9,44
1071,1021,2017,10,25
1072,1021,2017,11,41
1073,1021,2017,12,31
1074,1021,2018,1,21
1075,1021,2018,2,12
1076,1021,2018,3,42
1077,1021,2018,4,18
1078,1021,2018,5,2
1079,1021,2018,6,0
1080,1022,2014,1,7
1081,1022,2014,2,3
1082,1022,2014,3,10
1083,1022,2014,4,6
1084,1022,2014,5,8
1085,1022,2014,6,3
1086,1022,2014,7,5
1087,1022,2014,8,10
1088,1022,2014,9,8
1089,1022,2014,10,8
1090,1022,2014,11,12
1091,1022,2014,12,7
1092,1022,2015,1,12
1093,1022,2015,2,13
1094,1022,2015,3,3
1095,1022,2015,4,2
1096,1022,2015,5,23
1097,1022,2015,6,10
1098,1022,2015,7,12
1099,1022,2015,8,45
1100,1022,2015,9,42
1101,1022,2015,10,63
1102,1022,2015,11,156
1103,1022,2015,12,113
1104,1022,2016,1,94
1105,1022,2016,2,21
1106,1022,2016,3,10
1107,1022,2016,4,4
1108,1022,2016,5,5
1109,1022,2016,6,0
1110,1022,2016,7,4
1111,1022,2016,8,1
1112,1022,2016,9,8
1113,1022,2016,10,13
1114,1022,2016,11,10
1115,1022,2016,12,14
1116,1022,2017,1,15
1117,1022,2017,2,5
1118,1022,2017,3,4
1119,1022,2017,4,4
1120,1022,2017,5,6
1121,1022,2017,6,17
1122,1022,2017,7,19
1123,1022,2017,8,29
1124,1022,2017,9,25
1125,1022,2017,10,16
1126,1022,2017,11,26
1127,1022,2017,12,27
1128,1022,2018,1,18
1129,1022,2018,2,8
1130,1022,2018,3,14
1131,1022,2018,4,22
1132,1022,2018,5,7
1133,1022,2018,6,0
1134,1023,2014,1,18
1135,1023,2014,2,17
1136,1023,2014,3,17
1137,1023,2014,4,11
1138,1023,2014,5,8
1139,1023,2014,6,8
1140,1023,2014,7,9
1141,1023,2014,8,15
1142,1023,2014,9,12
1143,1023,2014,10,22
1144,1023,2014,11,18
1145,1023,2014,12,16
1146,1023,2015,1,13
1147,1023,2015,2,10
1148,1023,2015,3,13
1149,1023,2015,4,2
1150,1023,2015,5,8
